Overall Report,,,Payments,,,Category Sales,
Sales,USD,,,USD,,,USD
Gross Sales,177068.01,,Total Collected,210179.99,,Espresso (3683),"20,158.00"
Service Charges,0,,Cash,0,,Extras (339),264
Returns,-136.5,,Card x 21137,210179.99,,Ice Cream (17312),93632.5
Net Sales,"176,931.51",,Gift Card,0,,Matcha (4218),26343
Tax,19919.27,,Fees,7593.46,,Milk Tea (3201),20508
Tips,"13,336.51",,Net Total,"202,586.53",,Milkshake (900),7034
Total,"210,179.99",,,,,Tea (1681),9099.5
,,,,,,Uncategorized? (10),28.01
Item Sales,,,,,,,
,USD,,"Note: Azuki, Boba, Condensed Milk, Honey, Oatmilk, Soymilk are $0.50 extra while Espresso and Matcha are $2.00 extra.",,,,
+ Azuki × 21,$10.50,,,,,,
+ Boba × 158,$79.00,,,,,,
+ Condensed Milk × 1,$0.50,,,,,,
+ Espresso × 36,$72.00,,,,,,
+ Honey × 8,$4.00,,,,,,
+ Matcha × 27,$54.00,,,,,,
+ Oatmilk × 70,$35.00,,,,,,
+ Soymilk × 18,$9.00,,,,,,
Affogato × 246,"$1,686.00 ",,,,,,
Americano × 495,"$1,980.00 ",,,,,,
Hot × 289 (Americano),"$1,156.00 ",,,,,,
Iced × 206 (Americano),$824.00 ,,,,,,
Blue Flower Iced Tea × 450,"$2,878.00 ",,,,,,
Caffè Latte × 322,"$1,753.50 ",,,,,,
Hot × 219 (Caffe Latte),"$1,191.50 ",,,,,,
Iced × 103 (Caffe Latte),$562.00 ,,,,,,
Caffè Mocha × 176,"$1,044.50 ",,,,,,
Hot × 120 (Caffe Mocha),$711.00 ,,,,,,
Iced × 56 (Caffe Mocha),$333.50 ,,,,,,
Café con Leche × 303,"$1,791.00 ",,,,,,
Hot × 121 (Café con Leche),$708.00 ,,,,,,
Iced × 182 (Café con Leche),"$1,083.00 ",,,,,,
Cappuccino × 125,$673.00 ,,,,,,
Espresso × 140,$490.00 ,,,,,,
Genmaicha × 130,$390.00 ,,,,,,
Hot × 88 (Genmaicha),$264.00 ,,,,,,
Iced × 42 (Genmaicha),$126.00 ,,,,,,
Hojicha × 123,$369.00 ,,,,,,
Hot × 70 (Hojicha),$210.00 ,,,,,,
Iced × 53 (Hojicha),$159.00 ,,,,,,
Hokkaido Milk Tea × 542,"$3,448.50 ",,,,,,
No tapioca × 149 (Hokkaido Milk Tea),$894.00 ,,,,,,
Regular × 393 (Hokkaido Milk Tea),"$2,554.50 ",,,,,,
Honey Latte × 265 ,"$1,575.50 ",,,,,,
Hot × 130 (Honey Latte),$765.00 ,,,,,,
Iced × 135 (Honey Latte),$810.50 ,,,,,,
Ice Cream  x 6304,"$34,056.00 ",,,,,,
Japanese Iced Coffee × 374,"$1,870.00 ",,,,,,
Lavender Milk Tea × 447,"$2,840.50 ",,,,,,
No Boba × 130 (Lavender Milk Tea),$780.00 ,,,,,,
Regular × 317 (Lavender Milk Tea),"$2,060.50 ",,,,,,
Matcha × 296,"$1,480.00 ",,,,,,
Hot × 166 (Matcha),$830.00 ,,,,,,
Iced × 130 (Matcha),$650.00 ,,,,,,
Matcha Azuki Float x 3,$25.50 ,,,,,,
Matcha Azuki Latte × 418,"$2,746.00 ",,,,,,
Hot × 113 (Matcha Azuki Latte),$741.50 ,,,,,,
Iced × 305 (Matcha Azuki Latte),"$2,004.50 ",,,,,,
Matcha Ichigo Latte × 642,"$4,252.00 ",,,,,,
Matcha Kinako Latte × 292,"$1,926.00 ",,,,,,
Hot × 116 (Matcha Kinako Latte),$765.00 ,,,,,,
Iced × 176 (Matcha Kinako Latte),"$1,161.00 ",,,,,,
Matcha Latte × 1581,"$9,652.00 ",,,,,,
Hot × 602 (Matcha Latte),"$3,675.00 ",,,,,,
Iced × 979 (Matcha Latte),"$5,977.00 ",,,,,,
Matcha Milk Tea × 949,"$6,113.50 ",,,,,,
No tapioca × 110 (Matcha Milk Tea),$660.00 ,,,,,,
Regular × 839 (Matcha Milk Tea),"$5,453.50 ",,,,,,
Matcha White Chocolate × 248,"$1,631.50 ",,,,,,
Hot × 72 (Matcha White Chocolate),$475.00 ,,,,,,
Iced × 176 (Matcha White Chocolate),"$1,156.50 ",,,,,,
Meisai Latte × 346,"$2,278.00 ",,,,,,
Hot × 154 (Meisai Latte),"$1,014.50 ",,,,,,
Iced × 192 (Meisai Latte),"$1,263.50 ",,,,,,
Milkshake × 900,"$7,034.00 ",,,,,,
Boba Milkshake × 568 (Milkshake),"$4,544.00 ",,,,,,
No Tapioca × 332 (Milkshake),"$2,490.00 ",,,,,,
Okinawa Milk Tea × 658,"$4,223.00 ",,,,,,
No tapioca × 108 (Okinawa Milk Tea),$648.00 ,,,,,,
Regular × 550 (Okinawa Milk Tea),"$3,575.00 ",,,,,,
Sencha × 195,$585.00 ,,,,,,
Hot × 128 (Sencha),$384.00 ,,,,,,
Iced × 67 (Sencha ),$201.00 ,,,,,,
Softcream × 11008,"$59,576.50 ",,,,,,
Vanilla Custard & Matcha × 11008 (Softcream),"$59,576.50 ",,,,,,
Taro Milk Tea × 605,"$3,882.50 ",,,,,,
